64, 1024
3997657, 4006159, 5000
4994774, 5004815, 5000
5990410, 6001650, 5000
6977052, 6989089, 5000
22795, 8017410, 5000
1009478, 9005398, 5000
2004922, 10002886, 5000
3001532, 11002221, 5000
3998288, 12002018, 5000
4994832, 13001365, 5000
5990147, 13998869, 5000
6976645, 14986865, 5000
23316, 16015841, 5000
1009834, 17003912, 5000
2005140, 18001507, 5000
3001642, 19000958, 5000
3998318, 20000872, 5000
4994806, 21000328, 5000
5990083, 21997932, 5000
6976558, 22986016, 5000
23431, 24015084, 5000
1009912, 25003186, 5000
2005188, 26000813, 5000
3001667, 27000296, 5000
3998325, 28000239, 5000
4994800, 28999722, 5000
5990070, 29997352, 5000
6976541, 30985457, 5000
23459, 32014543, 5000
1009930, 33002648, 5000
2005200, 34000278, 5000
3001675, 34999761, 5000
3998333, 35999704, 5000
4994812, 36999187, 5000
5990088, 37996814, 5000
6976569, 38984916, 5000
23442, 40013984, 5000
1009917, 41002068, 5000
2005194, 41999672, 5000
3001682, 42999128, 5000
3998358, 43999042, 5000
4994860, 44998493, 5000
5990166, 45996088, 5000
6976684, 46984159, 5000
23355, 48013135, 5000
1009853, 49001131, 5000
2005168, 49998635, 5000
3001712, 50997982, 5000
3998468, 51997779, 5000
4995078, 52997114, 5000
5990522, 53994602, 5000
6977205, 54982590, 5000
22948, 56010911, 5000
1009590, 56998350, 5000
2005226, 57995185, 5000
3002343, 58993841, 5000
3999913, 59993092, 5000
4997448, 60992169, 5000
5993762, 61989713, 5000
6981166, 62978022, 5000
22166, 25863, 5000
1007314, 1012073, 5000
2002995, 2009200, 5000
3000102, 3008119, 5000
3997250, 4007242, 5000
4993864, 5005665, 5000
5988747, 6001958, 5000
6972996, 6987144, 5000
26823, 8020495, 5000
1011123, 9006326, 5000
2005779, 10003386, 5000
3001799, 11002609, 5000
3997990, 12002374, 5000
4993932, 13001610, 5000
5988437, 13998688, 5000
6972520, 14984529, 5000
27434, 16018650, 5000
1011540, 17004580, 5000
2006035, 18001765, 5000
3001929, 19001124, 5000
3998025, 20001026, 5000
4993901, 21000391, 5000
5988362, 21997587, 5000
6972417, 22983531, 5000
27569, 24017761, 5000
1011632, 25003727, 5000
2006091, 26000949, 5000
3001957, 27000346, 5000
3998033, 28000282, 5000
4993895, 28999680, 5000
5988347, 29996905, 5000
6972398, 30982875, 5000
27602, 32017125, 5000
1011653, 33003095, 5000
2006105, 34000320, 5000
3001967, 34999718, 5000
3998043, 35999654, 5000
4993909, 36999051, 5000
5988368, 37996273, 5000
6972431, 38982239, 5000
27583, 40016469, 5000
1011638, 41002413, 5000
2006099, 41999609, 5000
3001975, 42998974, 5000
3998071, 43998876, 5000
4993965, 44998235, 5000
5988460, 45995420, 5000
6972566, 46981350, 5000
27480, 48015471, 5000
1011563, 49001312, 5000
2006068, 49998390, 5000
3002010, 50997626, 5000
3998201, 51997391, 5000
4994221, 52996614, 5000
5988877, 53993674, 5000
6973177, 54979505, 5000
27004, 56012856, 5000
1011253, 56998042, 5000
2006136, 57994335, 5000
3002750, 58992758, 5000
3999898, 59991881, 5000
4997005, 60990800, 5000
5992686, 61987927, 5000
6977834, 62974137, 5000
25518, 29770, 5000
1008387, 1013859, 5000
2003436, 2010570, 5000
3000117, 3009334, 5000
3996841, 4008328, 5000
4992954, 5006521, 5000
5987084, 6002272, 5000
6968918, 6985182, 5000
30872, 8023599, 5000
1012765, 9007251, 5000
2006636, 10003885, 5000
3002066, 11002997, 5000
3997691, 12002730, 5000
4993032, 13001858, 5000
5986729, 13998513, 5000
6968372, 14982175, 5000
31575, 16021479, 5000
1013245, 17005244, 5000
2006931, 18002021, 5000
3002215, 19001290, 5000
3997732, 20001181, 5000
4992997, 21000457, 5000
5986643, 21997247, 5000
6968255, 22981028, 5000
31730, 24020458, 5000
1013350, 25004264, 5000
2006995, 26001084, 5000
3002248, 27000395, 5000
3997741, 28000326, 5000
4992989, 28999639, 5000
5986626, 29996463, 5000
6968233, 30980273, 5000
31767, 32019727, 5000
1013374, 33003537, 5000
2007011, 34000361, 5000
3002259, 34999674, 5000
3997752, 35999605, 5000
4993005, 36998916, 5000
5986650, 37995736, 5000
6968270, 38979542, 5000
31745, 40018972, 5000
1013357, 41002753, 5000
2007003, 41999543, 5000
3002268, 42998819, 5000
3997785, 43998710, 5000
4993069, 44997979, 5000
5986755, 45994756, 5000
6968425, 46978521, 5000
31628, 48017825, 5000
1013271, 49001487, 5000
2006968, 49998142, 5000
3002309, 50997270, 5000
3997934, 51997003, 5000
4993364, 52996115, 5000
5987235, 53992749, 5000
6969128, 54976401, 5000
31082, 56014818, 5000
1012916, 56997728, 5000
2007046, 57993479, 5000
3003159, 58991672, 5000
3999883, 59990666, 5000
4996564, 60989430, 5000
5991613, 61986141, 5000
6974482, 62970230, 5000
28885, 33695, 5000
1009455, 1015641, 5000
2003877, 2011941, 5000
3000131, 3010550, 5000
3996433, 4009417, 5000
4992045, 5007380, 5000
5985427, 6002594, 5000
6964823, 6983205, 5000
34939, 8026720, 5000
1014403, 9008171, 5000
2007493, 10004383, 5000
3002333, 11003385, 5000
3997392, 12003088, 5000
4992133, 13002108, 5000
5985026, 13998344, 5000
6964207, 14979805, 5000
35732, 16024324, 5000
1014945, 17005902, 5000
2007825, 18002276, 5000
3002501, 19001456, 5000
3997439, 20001337, 5000
4992093, 21000525, 5000
5984928, 21996913, 5000
6964075, 22978509, 5000
35908, 24023170, 5000
1015064, 25004794, 5000
2007898, 26001217, 5000
3002538, 27000445, 5000
3997449, 28000371, 5000
4992084, 28999600, 5000
5984909, 29996027, 5000
6964050, 30977656, 5000
35950, 32022344, 5000
1015091, 33003973, 5000
2007916, 34000400, 5000
3002551, 34999629, 5000
3997462, 35999555, 5000
4992102, 36998783, 5000
5984936, 37995206, 5000
6964092, 38976830, 5000
35925, 40021491, 5000
1015072, 41003087, 5000
2007907, 41999475, 5000
3002561, 42998663, 5000
3997499, 43998544, 5000
4992175, 44997724, 5000
5985055, 45994098, 5000
6964268, 46975676, 5000
35793, 48020195, 5000
1014974, 49001656, 5000
2007867, 49997892, 5000
3002608, 50996912, 5000
3997667, 51996615, 5000
4992507, 52995617, 5000
5985597, 53991829, 5000
6965061, 54973280, 5000
35177, 56016795, 5000
1014573, 56997406, 5000
2007955, 57992620, 5000
3003567, 58990583, 5000
3999869, 59989450, 5000
4996123, 60988059, 5000
5990545, 61984359, 5000
6971115, 62966305, 5000
32267, 37635, 5000
1010517, 1017418, 5000
2004316, 2013311, 5000
3000146, 3011767, 5000
3996026, 4010508, 5000
4991137, 5008242, 5000
5983774, 6002923, 5000
6960712, 6981214, 5000
39021, 8029855, 5000
1016036, 9009084, 5000
2008347, 10004878, 5000
3002600, 11003773, 5000
3997094, 12003447, 5000
4991235, 13002361, 5000
5983328, 13998182, 5000
6960027, 14977422, 5000
39905, 16027184, 5000
1016640, 17006554, 5000
2008718, 18002529, 5000
3002787, 19001621, 5000
3997146, 20001494, 5000
4991190, 21000595, 5000
5983219, 21996586, 5000
6959880, 22975976, 5000
40100, 24025897, 5000
1016772, 25005318, 5000
2008799, 26001348, 5000
3002828, 27000493, 5000
3997157, 28000416, 5000
4991181, 28999564, 5000
5983197, 29995597, 5000
6959853, 30975025, 5000
40147, 32024975, 5000
1016803, 33004403, 5000
2008819, 34000436, 5000
3002843, 34999584, 5000
3997172, 35999507, 5000
4991201, 36998652, 5000
5983228, 37994682, 5000
6959900, 38974103, 5000
40120, 40024024, 5000
1016781, 41003414, 5000
2008810, 41999405, 5000
3002854, 42998506, 5000
3997213, 43998379, 5000
4991282, 44997471, 5000
5983360, 45993446, 5000
6960095, 46972816, 5000
39973, 48022578, 5000
1016672, 49001818, 5000
2008765, 49997639, 5000
3002906, 50996553, 5000
3997400, 51996227, 5000
4991653, 52995122, 5000
5983964, 53990916, 5000
6960979, 54970145, 5000
39288, 56018786, 5000
1016226, 56997077, 5000
2008863, 57991758, 5000
3003974, 58989492, 5000
3999854, 59988233, 5000
4995684, 60986689, 5000
5989483, 61982582, 5000
6967733, 62962365, 5000
35661, 41589, 5000
1011572, 1019189, 5000
2004753, 2014680, 5000
3000161, 3012984, 5000
3995620, 4011601, 5000
4990232, 5009107, 5000
5982128, 6003259, 5000
6956587, 6979210, 5000
43117, 8033004, 5000
1017662, 9009991, 5000
2009201, 10005372, 5000
3002866, 11004160, 5000
3996797, 12003806, 5000
4990339, 13002616, 5000
5981636, 13998026, 5000
6955834, 14975024, 5000
44091, 16030058, 5000
1018328, 17007199, 5000
2009609, 18002780, 5000
3003073, 19001786, 5000
3996853, 20001651, 5000
4990290, 21000667, 5000
5981516, 21996266, 5000
6955672, 22973429, 5000
44307, 24028637, 5000
1018474, 25005836, 5000
2009698, 26001476, 5000
3003118, 27000541, 5000
3996866, 28000462, 5000
4990280, 28999530, 5000
5981492, 29995174, 5000
6955642, 30972379, 5000
44358, 32027621, 5000
1018508, 33004826, 5000
2009720, 34000470, 5000
3003134, 34999538, 5000
3996882, 35999459, 5000
4990302, 36998524, 5000
5981526, 37994164, 5000
6955693, 38971363, 5000
44328, 40026571, 5000
1018484, 41003734, 5000
2009710, 41999333, 5000
3003147, 42998349, 5000
3996927, 43998214, 5000
4990391, 44997220, 5000
5981672, 45992801, 5000
6955909, 46969942, 5000
44166, 48024976, 5000
1018364, 49001974, 5000
2009661, 49997384, 5000
3003203, 50996194, 5000
3997134, 51995840, 5000
4990799, 52994628, 5000
5982338, 53990009, 5000
6956883, 54966996, 5000
43413, 56020790, 5000
1017872, 56996741, 5000
2009768, 57990893, 5000
3004380, 58988399, 5000
3999839, 59987016, 5000
4995247, 60985320, 5000
5988428, 61980811, 5000
6964339, 62958411, 5000
39069, 45557, 5000
1012620, 1020954, 5000
2005189, 2016048, 5000
3000175, 3014202, 5000
3995214, 4012695, 5000
4989328, 5009975, 5000
5980488, 6003602, 5000
6952447, 6977193, 5000
47227, 8036167, 5000
1019282, 9010891, 5000
2010052, 10005864, 5000
3003132, 11004547, 5000
3996499, 12004166, 5000
4989445, 13002873, 5000
5979951, 13997878, 5000
6951626, 14972613, 5000
48291, 16032945, 5000
1020010, 17007837, 5000
2010498, 18003028, 5000
3003358, 19001950, 5000
3996561, 20001809, 5000
4989391, 21000742, 5000
5979820, 21995952, 5000
6951450, 22970868, 5000
48526, 24031392, 5000
1020169, 25006346, 5000
2010596, 26001603, 5000
3003407, 27000589, 5000
3996575, 28000508, 5000
4989380, 28999497, 5000
5979794, 29994759, 5000
6951417, 30969720, 5000
48583, 32030280, 5000
1020206, 33005241, 5000
2010620, 34000503, 5000
3003425, 34999492, 5000
3996593, 35999411, 5000
4989404, 36998397, 5000
5979831, 37993654, 5000
6951474, 38968608, 5000
48550, 40029132, 5000
1020180, 41004048, 5000
2010609, 41999258, 5000
3003439, 42998191, 5000
3996642, 43998050, 5000
4989502, 44996972, 5000
5979990, 45992163, 5000
6951709, 46967055, 5000
48374, 48027387, 5000
1020049, 49002122, 5000
2010555, 49997127, 5000
3003501, 50995834, 5000
3996868, 51995453, 5000
4989948, 52994136, 5000
5980718, 53989109, 5000
6952773, 54963833, 5000
47553, 56022807, 5000
1019512, 56996398, 5000
2010672, 57990025, 5000
3004786, 58987305, 5000
3999825, 59985798, 5000
4994811, 60983952, 5000
5987380, 61979046, 5000
6960931, 62954443, 5000
42489, 49539, 5000
1013662, 1022712, 5000
2005623, 2017415, 5000
3000190, 3015420, 5000
3994809, 4013790, 5000
4988427, 5010846, 5000
5978855, 6003954, 5000
6948295, 6975162, 5000
51350, 8039343, 5000
1020895, 9011783, 5000
2010901, 10006353, 5000
3003398, 11004933, 5000
3996203, 12004526, 5000
4988553, 13003132, 5000
5978273, 13997737, 5000
6947406, 14970188, 5000
52504, 16035846, 5000
1021684, 17008468, 5000
2011386, 18003274, 5000
3003642, 19002114, 5000
3996270, 20001967, 5000
4988495, 21000818, 5000
5978132, 21995646, 5000
6947216, 22968293, 5000
52759, 24034160, 5000
1021857, 25006849, 5000
2011491, 26001727, 5000
3003696, 27000636, 5000
3996285, 28000556, 5000
4988483, 28999467, 5000
5978103, 29994350, 5000
6947180, 30967047, 5000
52820, 32032953, 5000
1021897, 33005650, 5000
2011517, 34000533, 5000
3003715, 34999444, 5000
3996304, 35999364, 5000
4988509, 36998273, 5000
5978143, 37993151, 5000
6947241, 38965840, 5000
52784, 40031707, 5000
1021868, 41004354, 5000
2011505, 41999182, 5000
3003730, 42998033, 5000
3996358, 43997886, 5000
4988614, 44996726, 5000
5978316, 45991532, 5000
6947496, 46964154, 5000
52594, 48029812, 5000
1021727, 49002263, 5000
2011447, 49996868, 5000
3003797, 50995474, 5000
3996602, 51995067, 5000
4989099, 52993647, 5000
5979105, 53988217, 5000
6948650, 54960657, 5000
51705, 56024838, 5000
1021145, 56996046, 5000
2011573, 57989154, 5000
3005191, 58986210, 5000
3999810, 59984580, 5000
4994377, 60982585, 5000
5986338, 61977288, 5000
6957511, 62950461, 5000
45921, 53534, 5000
1014695, 1024463, 5000
2006055, 2018780, 5000
3000204, 3016639, 5000
3994406, 4014887, 5000
4987527, 5011719, 5000
5977230, 6004313, 5000
6944128, 6973118, 5000
55486, 8042533, 5000
1022500, 9012668, 5000
2011749, 10006840, 5000
3003662, 11005318, 5000
3995907, 12004888, 5000
4987663, 13003393, 5000
5976602, 13997603, 5000
6943173, 14967750, 5000
56730, 16038761, 5000
1023351, 17009091, 5000
2012271, 18003518, 5000
3003926, 19002277, 5000
3995979, 20002127, 5000
4987600, 21000897, 5000
5976450, 21995347, 5000
6942968, 22965705, 5000
57005, 24036942, 5000
1023537, 25007345, 5000
2012385, 26001849, 5000
3003984, 27000682, 5000
3995995, 28000603, 5000
4987587, 28999440, 5000
5976419, 29993949, 5000
6942929, 30964360, 5000
57071, 32035640, 5000
1023581, 33006051, 5000
2012413, 34000560, 5000
3004005, 34999397, 5000
3996016, 35999318, 5000
4987615, 36998151, 5000
5976463, 37992655, 5000
6942995, 38963058, 5000
57032, 40034295, 5000
1023550, 41004653, 5000
2012400, 41999103, 5000
3004021, 42997873, 5000
3996074, 43997723, 5000
4987729, 44996482, 5000
5976649, 45990909, 5000
6943270, 46961239, 5000
56827, 48032250, 5000
1023398, 49002397, 5000
2012337, 49996607, 5000
3004093, 50995112, 5000
3996338, 51994682, 5000
4988251, 52993160, 5000
5977500, 53987332, 5000
6944514, 54957467, 5000
55872, 56026882, 5000
1022770, 56995687, 5000
2012473, 57988281, 5000
3005594, 58985113, 5000
3999796, 59983361, 5000
4993945, 60981220, 5000
5985305, 61975537, 5000
6954079, 62946466, 5000
49367, 57543, 5000
1015722, 1026207, 5000
2006485, 2020143, 5000
3000218, 3017857, 5000
3994003, 4015984, 5000
4986630, 5012595, 5000
5975612, 6004680, 5000
6939947, 6971061, 5000
59635, 8045737, 5000
1024098, 9013545, 5000
2012594, 10007325, 5000
3003927, 11005703, 5000
3995611, 12005249, 5000
4986775, 13003657, 5000
5974939, 13997477, 5000
6938926, 14965297, 5000
60969, 16041689, 5000
1025011, 17009706, 5000
2013153, 18003760, 5000
3004210, 19002439, 5000
3995689, 20002286, 5000
4986708, 21000978, 5000
5974776, 21995056, 5000
6938707, 22963103, 5000
61264, 24039737, 5000
1025210, 25007833, 5000
2013276, 26001969, 5000
3004272, 27000728, 5000
3995706, 28000651, 5000
4986694, 28999414, 5000
5974743, 29993556, 5000
6938666, 30961659, 5000
61334, 32038341, 5000
1025257, 33006444, 5000
2013306, 34000586, 5000
3004294, 34999349, 5000
3995728, 35999272, 5000
4986724, 36998031, 5000
5974790, 37992167, 5000
6938736, 38960263, 5000
61293, 40036897, 5000
1025224, 41004944, 5000
2013292, 41999022, 5000
3004311, 42997714, 5000
3995790, 43997561, 5000
4986847, 44996240, 5000
5974989, 45990294, 5000
6939031, 46958311, 5000
61074, 48034703, 5000
1025061, 49002523, 5000
2013225, 49996343, 5000
3004389, 50994751, 5000
3996073, 51994297, 5000
4987406, 52992675, 5000
5975902, 53986455, 5000
6940365, 54954263, 5000
60053, 56028939, 5000
1024388, 56995320, 5000
2013370, 57987405, 5000
