16,1024
60124.72, 4032616.44, 5000.00
1014794.53, 5006190.67, 5000.00
1984492.36, 6004282.05, 5000.00
2938223.21, 6977894.94, 5000.00
61776.79, 8022105.06, 5000.00
1015507.64, 8995717.95, 5000.00
1985205.47, 9993809.33, 5000.00
2939875.28, 10967383.56, 5000.00
60583.26, 12007705.37, 5000.00
1016938.92, 12975117.36, 5000.00
1994238.21, 13968173.05, 5000.00
2957466.04, 14942731.93, 5000.00
45729.98, 61571.68, 5000.00
1006159.90, 1034148.57, 5000.00
1981867.40, 2026772.56, 5000.00
2934869.91, 2991645.75, 5000.00
64628.16, 4035097.06, 5000.00
1015840.53, 5006598.81, 5000.00
1983396.29, 6004639.93, 5000.00
2933602.09, 6976181.01, 5000.00
66397.91, 8023818.99, 5000.00
1016603.71, 8995360.07, 5000.00
1984159.47, 9993401.19, 5000.00
2935371.84, 10964902.94, 5000.00
65130.09, 12008354.25, 5000.00
1018132.60, 12973227.44, 5000.00
1993840.10, 13965851.43, 5000.00
2954270.02, 14938428.32, 5000.00
48938.63, 65892.35, 5000.00
1006553.95, 1036468.44, 5000.00
1980681.30, 2028673.58, 5000.00
2930305.83, 2990983.67, 5000.00
69147.24, 4037592.10, 5000.00
1016880.39, 5006999.45, 5000.00
1982306.68, 6005005.27, 5000.00
2928965.81, 6974452.27, 5000.00
71034.19, 8025547.73, 5000.00
1017693.32, 8994994.73, 5000.00
1983119.61, 9993000.55, 5000.00
2930852.76, 10962407.90, 5000.00
69694.17, 12009016.33, 5000.00
1019318.70, 12971326.42, 5000.00
1993446.05, 13963531.56, 5000.00
2951061.37, 14934107.65, 5000.00
52160.09, 70230.24, 5000.00
1006943.78, 1038786.36, 5000.00
1979503.03, 2030585.98, 5000.00
2925724.30, 2990308.14, 5000.00
73682.13, 4040101.78, 5000.00
1017913.86, 5007392.30, 5000.00
1981223.78, 6005378.34, 5000.00
2924314.20, 6972708.48, 5000.00
75685.80, 8027291.52, 5000.00
1018776.22, 8994621.66, 5000.00
1982086.14, 9992607.70, 5000.00
2926317.87, 10959898.22, 5000.00
74275.70, 12009691.86, 5000.00
1020496.97, 12969414.02, 5000.00
1993056.22, 13961213.64, 5000.00
2947839.91, 14929769.76, 5000.00
55394.50, 74585.58, 5000.00
1007329.21, 1041102.14, 5000.00
1978332.87, 2032510.07, 5000.00
2921125.08, 2989618.89, 5000.00
78233.02, 4042626.36, 5000.00
1018940.72, 5007777.09, 5000.00
1980147.81, 6005759.42, 5000.00
2919647.09, 6970949.38, 5000.00
80352.91, 8029050.62, 5000.00
1019852.19, 8994240.58, 5000.00
1981059.28, 9992222.91, 5000.00
2921766.98, 10957373.64, 5000.00
78874.92, 12010381.11, 5000.00
1021667.13, 12967489.93, 5000.00
1992670.79, 13958897.86, 5000.00
2944605.50, 14925414.42, 5000.00
58642.05, 78958.58, 5000.00
1007710.06, 1043415.58, 5000.00
1977171.10, 2034446.16, 5000.00
2916507.92, 2988915.64, 5000.00
82800.11, 4045166.08, 5000.00
1019960.71, 5008153.51, 5000.00
1979079.03, 6006148.78, 5000.00
2914964.27, 6969174.71, 5000.00
85035.73, 8030825.29, 5000.00
1020920.97, 8993851.22, 5000.00
1980039.29, 9991846.49, 5000.00
2917199.89, 10954833.92, 5000.00
83492.08, 12011084.36, 5000.00
1022828.90, 12965553.84, 5000.00
1992289.94, 13956584.42, 5000.00
2941357.95, 14921041.42, 5000.00
61902.91, 83349.45, 5000.00
1008086.13, 1045726.48, 5000.00
1976018.00, 2036394.58, 5000.00
2911872.57, 2988198.11, 5000.00
87383.59, 4047721.21, 5000.00
1020973.59, 5008521.27, 5000.00
1978017.71, 6006546.75, 5000.00
2910265.57, 6967384.18, 5000.00
89734.43, 8032615.82, 5000.00
1021982.29, 8993453.25, 5000.00
1979026.41, 9991478.73, 5000.00
2912616.41, 10952278.79, 5000.00
88127.43, 12011801.89, 5000.00
1023982.00, 12963605.42, 5000.00
1991913.87, 13954273.52, 5000.00
2938097.09, 14916650.55, 5000.00
65177.26, 87758.44, 5000.00
1008457.22, 1048034.62, 5000.00
1974873.86, 2038355.67, 5000.00
2907218.76, 2987466.01, 5000.00
91983.68, 4050292.02, 5000.00
1021979.09, 5008880.04, 5000.00
1976964.09, 6006953.61, 5000.00
2905550.76, 6965577.51, 5000.00
94449.24, 8034422.49, 5000.00
1023035.91, 8993046.39, 5000.00
1978020.91, 9991119.96, 5000.00
2908016.32, 10949707.98, 5000.00
92781.24, 12012533.99, 5000.00
1025126.14, 12961644.33, 5000.00
1991542.78, 13951965.38, 5000.00
2934822.74, 14912241.56, 5000.00
68465.29, 92185.78, 5000.00
1008823.15, 1050339.79, 5000.00
1973738.99, 2040329.77, 5000.00
2902546.22, 2986719.02, 5000.00
96600.59, 4052878.78, 5000.00
1022976.94, 5009229.50, 5000.00
1975918.47, 6007369.71, 5000.00
2900819.65, 6963754.42, 5000.00
99180.35, 8036245.58, 5000.00
1024081.53, 8992630.29, 5000.00
1977023.06, 9990770.50, 5000.00
2903399.41, 10947121.22, 5000.00
97453.78, 12013280.98, 5000.00
1026261.01, 12959670.23, 5000.00
1991176.85, 13949660.21, 5000.00
2931534.71, 14907814.22, 5000.00
71767.19, 96631.72, 5000.00
1009183.68, 1052641.77, 5000.00
1972613.71, 2042317.26, 5000.00
2897854.68, 2985956.84, 5000.00
101234.55, 4055481.79, 5000.00
1023966.87, 5009569.32, 5000.00
1974881.11, 6007795.37, 5000.00
2896072.01, 6961914.59, 5000.00
103927.99, 8038085.41, 5000.00
1025118.89, 8992204.63, 5000.00
1976033.13, 9990430.68, 5000.00
2898765.45, 10944518.21, 5000.00
102145.32, 12014043.16, 5000.00
1027386.29, 12957682.74, 5000.00
1990816.32, 13947358.23, 5000.00
2928232.81, 14903368.28, 5000.00
75083.17, 101096.50, 5000.00
1009538.62, 1054940.30, 5000.00
1971498.34, 2044318.51, 5000.00
2893143.83, 2985179.14, 5000.00
105885.79, 4058101.34, 5000.00
1024948.58, 5009899.13, 5000.00
1973852.32, 6008230.95, 5000.00
2891307.61, 6960057.72, 5000.00
108692.39, 8039942.28, 5000.00
1026147.68, 8991769.05, 5000.00
1975051.42, 9990100.87, 5000.00
2894114.21, 10941898.66, 5000.00
106856.17, 12014820.86, 5000.00
1028501.66, 12955681.49, 5000.00
1990461.38, 13945059.70, 5000.00
2924916.83, 14898903.50, 5000.00
78413.42, 105580.37, 5000.00
1009887.73, 1057235.16, 5000.00
1970393.22, 2046333.91, 5000.00
2888413.39, 2984385.60, 5000.00
110554.54, 4060737.74, 5000.00
1025921.79, 5010218.57, 5000.00
1972832.38, 6008676.79, 5000.00
2886526.24, 6958183.49, 5000.00
113473.76, 8041816.51, 5000.00
1027167.62, 8991323.21, 5000.00
1974078.21, 9989781.43, 5000.00
2889445.46, 10939262.26, 5000.00
111586.61, 12015614.40, 5000.00
1029606.78, 12953666.09, 5000.00
1990112.27, 13942764.84, 5000.00
2921586.58, 14894419.63, 5000.00
81758.16, 110083.61, 5000.00
1010230.77, 1059526.09, 5000.00
1969298.71, 2048363.87, 5000.00
2883663.04, 2983575.86, 5000.00
115241.05, 4063391.30, 5000.00
1026886.18, 5010527.28, 5000.00
1971821.63, 6009133.28, 5000.00
2881727.64, 6956291.57, 5000.00
118272.36, 8043708.43, 5000.00
1028178.37, 8990866.72, 5000.00
1973113.82, 9989472.72, 5000.00
2884758.95, 10936608.70, 5000.00
116336.96, 12016424.14, 5000.00
1030701.29, 12951636.13, 5000.00
1989769.23, 13940473.91, 5000.00
2918241.84, 14889916.39, 5000.00
85117.60, 114606.49, 5000.00
1010567.52, 1061812.82, 5000.00
1968215.16, 2050408.81, 5000.00
2878892.47, 2982749.57, 5000.00
119945.57, 4066062.34, 5000.00
1027841.43, 5010824.84, 5000.00
1970820.36, 6009600.81, 5000.00
2876911.59, 6954381.61, 5000.00
123088.41, 8045618.39, 5000.00
1029179.64, 8990399.19, 5000.00
1972158.57, 9989175.16, 5000.00
2880054.43, 10933937.66, 5000.00
121107.53, 12017250.43, 5000.00
1031784.84, 12949591.19, 5000.00
1989432.48, 13938187.18, 5000.00
2914882.40, 14885393.51, 5000.00
88491.97, 119149.27, 5000.00
1010897.71, 1064095.08, 5000.00
1967142.95, 2052469.16, 5000.00
2874101.35, 2981906.36, 5000.00
124668.35, 4068751.20, 5000.00
1028787.22, 5011110.87, 5000.00
1969828.93, 6010079.77, 5000.00
